feature,importance
acf_decay_slope,0.44634769894066123
acf_lag1,0.4240783193157542
psd_slope,0.423039608945964
ar1_error,0.38632001641433783
acf_lag2,0.38158072719212116
coef_variation,0.3568980820433113
acf_lag3,0.3399275480705798
n_samples,0.33113821264994403
acf_auc,0.29535676381274023
acf_lag5,0.2851393950572827
var_ratio_end_start,0.2804562106498158
kurtosis,0.27552610867818944
peak_ratio,0.27490881750102636
skewness,0.25869153449435006
t_len,0.2141463622076331
total_points,0.19855743532685166
acf_lag10,0.18226290522230154
psd_slope_std,0.1746366446730154
asymmetry,0.1677244778619159
range,0.14457048507871686
mean_cross_corr,0.12665245635228323
permutation_entropy,0.10524137184772121
var_start,0.10451151512152496
ks_normal,0.10384795225302608
n_channels,0.10340954191083115
spectral_entropy,0.10103376652107444
class_balance,0.0933528771014289
std,0.08546587970597945
var,0.08316970957380021
mean,0.070080401557211
prop_saturated,0.06535977663563385
n_classes,0.04302567687832436
var_end,0.03393783385049237
std_cross_corr,0.02617870631767531
mass_near_zero,0.02171766073850208
unique_ratio,0.016599619126956105
prop_repeated,0.016599619126956098
max_cross_corr,0.010240573679539074
acf_lag20,0.003912411369829445
